les Escaldes, Andorra,AD,42.50729,1.53414
Andorra la Vella, Andorra,AD,42.50779,1.52109
Umm al Qaywayn, United Arab Emirates,AE,25.56473,55.55517
Ras al-Khaimah, United Arab Emirates,AE,25.78953,55.9432
Khawr Fakkān, United Arab Emirates,AE,25.33132,56.34199
Dubai, United Arab Emirates,AE,25.0657,55.17128
Dibba Al-Fujairah, United Arab Emirates,AE,25.59246,56.26176
Dibba Al-Hisn, United Arab Emirates,AE,25.61955,56.27291
Sharjah, United Arab Emirates,AE,25.33737,55.41206
Ar Ruways, United Arab Emirates,AE,24.11028,52.73056
Al Fujayrah, United Arab Emirates,AE,25.11641,56.34141
Al Ain, United Arab Emirates,AE,24.19167,55.76056
Ajman, United Arab Emirates,AE,25.41111,55.43504
Adh Dhayd, United Arab Emirates,AE,25.28812,55.88157
Abu Dhabi, United Arab Emirates,AE,24.46667,54.36667
Zaranj, Afghanistan,AF,30.95962,61.86037
Taloqan, Afghanistan,AF,36.73605,69.53451
Shīnḏanḏ, Afghanistan,AF,33.30294,62.1474
Shibirghān, Afghanistan,AF,36.66757,65.7529
Shahrak, Afghanistan,AF,34.10737,64.3052
Sar-e Pul, Afghanistan,AF,36.21544,65.93249
Sang-e Chārak, Afghanistan,AF,35.84972,66.43694
Aībak, Afghanistan,AF,36.26468,68.01551
Rustāq, Afghanistan,AF,37.12604,69.83045
Qarqīn, Afghanistan,AF,37.41853,66.04358
Qarāwul, Afghanistan,AF,37.21959,68.7802
Pul-e Khumrī, Afghanistan,AF,35.94458,68.71512
Paghmān, Afghanistan,AF,34.58787,68.95091
Nahrīn, Afghanistan,AF,36.0649,69.13343
Maymana, Afghanistan,AF,35.92139,64.78361
Mehtar Lām, Afghanistan,AF,34.67139,70.20944
Mazār-e Sharīf, Afghanistan,AF,36.70904,67.11087
Lashkar Gāh, Afghanistan,AF,31.59382,64.37161
Kushk, Afghanistan,AF,33.29565,61.95221
Kunduz, Afghanistan,AF,36.72895,68.857
Khōst, Afghanistan,AF,33.33951,69.92041
Khulm, Afghanistan,AF,36.69736,67.69826
Khāsh, Afghanistan,AF,31.52919,62.79055
Khanabad, Afghanistan,AF,36.6825,69.11556
Karukh, Afghanistan,AF,34.48108,62.5863
Kandahār, Afghanistan,AF,31.61332,65.71013
Kabul, Afghanistan,AF,34.52813,69.17233
Jalālābād, Afghanistan,AF,34.42647,70.45153
Jabal os Saraj, Afghanistan,AF,35.11833,69.23778
Herāt, Afghanistan,AF,34.34817,62.19967
